Hour,Bus,Load,Voltage,Carbon Intensity,Load Shed,Generation,Cost,Emissions
1,1,-0.0,0.0,635.9966535108683,0.0,0.0,0.0,0.0
1,2,23.43,-3.476107668181897,669.2711924202368,0.0,0.0,0.0,0.0
1,3,-91.99110658439092,-8.782871965828422,613.902482275057,0.0,0.0,0.0,0.0
1,4,-0.0,15.759642202159473,405.6878708890452,0.0,0.0,0.0,0.0
1,5,-0.0,15.411306156117876,327.03673748333364,0.0,0.0,0.0,0.0
1,6,-280.92010107932407,-0.812373980952759,787.7277625006355,0.0,0.0,0.0,0.0
1,7,-0.0,10.4753985648662,38.14349855990548,0.0,1699.999999999633,11197.119699997584,0.0
1,8,-232.3084615088755,-13.048028872196669,901.6421599117531,0.0,0.0,0.0,0.0
1,9,-0.0,11.878062651136725,499.9999999998847,0.0,0.0,0.0,0.0
1,10,-0.0,4.557497550021152,440.67757416768137,0.0,0.0,0.0,0.0
1,11,-142.0297023066139,10.038236326423501,389.01965571521754,0.0,0.0,0.0,0.0
1,12,-0.0,4.035047538540413,668.0568721218582,0.0,0.0,0.0,0.0
1,13,-226.79089772201442,0.5012137218164104,787.9472309375994,0.0,0.0,0.0,0.0
1,14,-0.0,-10.08943405322372,800.579824105371,0.0,0.0,0.0,0.0
1,15,-0.0,0.15666637818309637,600.7578451950109,0.0,0.0,0.0,0.0
1,16,-260.7524541342456,-8.405175037864854,859.1246747491772,0.0,0.0,0.0,0.0
1,17,-0.0,1.026844027072107,439.1769719175863,0.0,0.0,0.0,0.0
1,18,-0.0,4.492108270575635,552.2172841218018,0.0,0.0,0.0,0.0
1,19,-60.560019081306365,1.7018125462310132,708.0140954489957,0.0,0.0,0.0,0.0
1,20,-112.63440558006086,-13.038258498911503,792.016941823475,0.0,0.0,0.0,0.0
1,21,-0.0,4.462887041236266,616.9688684288325,0.0,4.3182174871192536e-09,1.5025173404990885e-07,3.3880292972038273e-06
1,22,357.45,9.603822858106886,76.79401497845284,0.0,0.0,0.0,0.0
1,23,-8.181215270173338,-16.232510764004907,807.7729226753266,0.0,0.0,0.0,0.0
1,24,-0.0,21.95231405836454,469.0215754292145,0.0,3.2144180127944263e-10,2.0023848638398613e-08,2.64204945500666e-07
1,25,-0.0,-1.4590392625191981,288.5097574066669,0.0,0.0,0.0,0.0
1,26,-382.51937908566276,-9.550411680527493,841.7359144708184,0.0,0.0,0.0,0.0
1,27,-0.0,-2.5628458271884753,733.8221207949092,0.0,0.0,0.0,0.0
1,28,-287.19870814713147,-3.97597173426579,686.6556088546848,0.0,0.0,0.0,0.0
1,29,-0.0,-0.1770800794488887,637.8253117283525,0.0,0.0,0.0,0.0
1,30,-0.0,11.878062651136725,499.9999999998847,0.0,0.0,0.0,0.0
1,31,-193.8757758210845,-11.169507876573283,641.7677158944441,0.0,0.0,0.0,0.0
1,32,-344.2864672591202,12.295513627422839,736.7218104971424,0.0,0.0,0.0,0.0
1,33,-281.6811443602704,-8.245564690738851,819.5454194969831,0.0,0.0,0.0,0.0
1,34,-0.0,-0.7386511130109401,550.3026553782302,0.0,0.0,0.0,0.0
1,35,-215.28011809770078,-8.163814997010757,854.963273742201,0.0,0.0,0.0,0.0
1,36,-0.0,-12.989499341626665,795.0903429825211,0.0,0.0,0.0,0.0
1,37,-0.0,7.903236350191063,755.524622034111,0.0,1230.5972051077933,40096.83915496764,904144.4123178977
1,38,-0.0,-7.897272266797681,499.9999999998898,0.0,0.0,0.0,0.0
1,39,-0.0,-9.513040781727922,853.878735628131,0.0,0.0,0.0,0.0
1,40,-282.3470572310985,-10.619446622952625,787.3682574080625,0.0,0.0,0.0,0.0
1,41,-319.9235692278249,-10.333168662993849,853.416947807458,0.0,0.0,0.0,0.0
1,42,-0.0,-6.10218874804824,728.4402529837481,0.0,2.2851660634859493e-09,8.400833971325606e-08,1.1084491905806428e-06
1,43,-371.48425151194056,-11.22216050209633,858.526474575419,0.0,0.0,0.0,0.0
1,44,-35.19825174376901,11.878062651136725,449.42939840017425,0.0,0.0,0.0,0.0
1,45,-0.0,-8.246903723958498,913.7426508801826,0.0,6.314707343226563e-10,3.012559452939446e-08,3.974925702120351e-07
1,46,-391.27137681654585,-10.964837388270848,744.4679454643374,0.0,0.0,0.0,0.0
1,47,-330.682818612204,1.9074227750009707,699.3352791691574,0.0,0.0,0.0,0.0
1,48,-0.0,23.040682827222707,224.7092668371032,0.0,0.0,0.0,0.0
1,49,-0.0,-1.4519171218170928,621.1648021309002,0.0,0.0,0.0,0.0
1,50,-0.0,-8.096955182399013,732.5668566788169,0.0,0.0,0.0,0.0
1,51,-0.0,6.064710408106886,499.9999999998198,0.0,0.0,0.0,0.0
1,52,-211.85542333344216,-7.305730148174255,764.5760166670964,0.0,0.0,0.0,0.0
1,53,-0.0,0.807288978183129,406.7712814389532,0.0,0.0,0.0,0.0
1,54,-0.0,6.064710408106886,586.5616303321577,0.0,0.0,0.0,0.0
1,55,456.66,-3.964503464632214,519.1776280686845,0.0,0.0,0.0,0.0
1,56,-0.0,15.848689046147527,50.94964724525521,0.0,1199.9999999996053,10077.999599996683,0.0
1,57,-0.0,-1.9324609261042809,657.5812261483018,0.0,0.0,0.0,0.0
1,58,-338.64523393910525,-3.9139353739622353,861.9839486412717,0.0,0.0,0.0,0.0
