Hour,from,to,Flow,Pn,Pb
1,32,5,-345.01186991426226,0.0,345.01186991426226
1,85,44,-181.86671288339517,0.0,181.86671288339517
1,19,58,95.30216566194275,0.0,0.0
1,58,13,-62.189872116647315,0.0,62.189872116647315
1,55,62,256.4551121601493,0.0,0.0
1,55,25,-234.85100053758086,0.0,234.85100053758086
1,55,64,252.89924369848987,0.0,0.0
1,55,57,-200.95758012857675,0.0,200.95758012857675
1,20,88,-120.1223430924739,0.0,120.1223430924739
1,20,35,-1.3078505972749688,0.0,1.3078505972749688
1,20,8,0.25744485276959495,0.0,0.0
1,20,2,-2.246448128667046,0.0,2.246448128667046
1,20,61,-59.88446243281811,0.0,59.88446243281811
1,20,84,275.244083345646,0.0,0.0
1,20,52,-3.1375196312744302,0.0,3.1375196312744302
1,88,8,0.812520382078187,0.0,0.0
1,88,61,-8.504316496754722,0.0,8.504316496754722
1,88,84,54.14308012734725,0.0,0.0
1,79,17,40.92932376474822,0.0,0.0
1,79,10,-316.5351786369199,0.0,316.5351786369199
1,79,87,44.082526262291765,0.0,0.0
1,79,83,-213.02089632331297,0.0,213.02089632331297
1,35,26,8.957839483532034,0.0,0.0
1,26,39,-199.40208421232956,0.0,199.40208421232956
1,61,26,0.14133603447341025,0.0,0.0
1,67,26,-2.977416274651345,0.0,2.977416274651345
1,40,26,-7.9643658131039246,0.0,7.9643658131039246
1,77,26,-0.15011413967459264,0.0,0.15011413967459264
1,46,26,-1.8259725058273375,0.0,1.8259725058273375
1,3,26,2.666726814123848,0.0,0.0
1,28,26,1.1827604245076162,0.0,0.0
1,43,26,-65.83461097595722,0.0,65.83461097595722
1,41,26,-3.9501736134342735,0.0,3.9501736134342735
1,35,50,-319.0,0.0,319.0
1,42,35,7.888514889581244,0.0,0.0
1,2,35,49.14689174270728,0.0,0.0
1,61,35,-0.4802506008994101,0.0,0.4802506008994101
1,67,35,-2.484615847075313,0.0,2.484615847075313
1,40,35,-18.966314481419417,0.0,18.966314481419417
1,77,35,-0.43924981567438315,0.0,0.43924981567438315
1,46,35,-40.93768610346305,0.0,40.93768610346305
1,3,35,-0.6708175228404745,0.0,0.6708175228404745
1,52,35,0.10878772250919377,0.0,0.0
1,28,35,0.7840650441344993,0.0,0.0
1,43,35,-4.071658077480748,0.0,4.071658077480748
1,41,35,-82.87826914747222,0.0,82.87826914747222
1,50,42,-128.133018914687,0.0,128.133018914687
1,39,42,-199.40208421232956,0.0,199.40208421232956
1,44,30,0.0,0.0,0.0
1,44,5,-382.3965732516537,0.0,382.3965732516537
1,44,9,0.0,0.0,0.0
1,19,47,-0.09440470754583263,0.0,0.09440470754583263
1,19,13,9.047985131834722,0.0,0.0
1,17,69,-198.0491765209939,0.0,198.0491765209939
1,17,29,238.97850028574214,0.0,0.0
1,87,69,-175.8631776953696,0.0,175.8631776953696
1,87,1,219.94570395766138,0.0,0.0
1,11,5,-723.5645871791664,0.0,723.5645871791664
1,11,81,581.235631974283,0.0,0.0
1,81,12,236.59018732038834,0.0,0.0
1,81,83,344.64544465389463,0.0,0.0
1,10,18,139.7579605428574,0.0,0.0
1,10,63,-456.2931391797773,0.0,456.2931391797773
1,7,69,1700.0,0.0,0.0
1,21,69,372.8478264489454,0.0,0.0
1,21,54,-755.2262505293344,0.0,755.2262505293344
1,21,57,415.342912951136,0.0,0.0
1,59,83,-131.62454833058166,0.0,131.62454833058166
1,2,42,104.9780213882653,0.0,0.0
1,27,57,-214.38533282255923,0.0,214.38533282255923
1,8,36,-264.0636128545037,0.0,264.0636128545037
1,8,84,32.33564867855088,0.0,0.0
1,36,31,-49.67828003194444,0.0,49.67828003194444
1,2,61,5.3895324145729955,0.0,0.0
1,2,52,1.42706686864479,0.0,0.0
1,84,61,-19.799134257168628,0.0,19.799134257168628
1,52,61,64.71101971429187,0.0,0.0
1,5,76,251.55018102688328,0.0,0.0
1,5,63,753.2804691952443,0.0,0.0
1,5,89,-600.0,0.0,600.0
1,5,71,-600.0,0.0,600.0
1,5,56,-797.1507265576042,0.0,797.1507265576042
1,5,48,-789.0986964750192,0.0,789.0986964750192
1,5,60,0.0,0.0,0.0
1,6,34,-330.4457424653905,0.0,330.4457424653905
1,67,6,-1.5464059974492983,0.0,1.5464059974492983
1,65,6,-12.950578336203302,0.0,12.950578336203302
1,77,6,-73.71741171818839,0.0,73.71741171818839
1,28,6,-8.665202882390814,0.0,8.665202882390814
1,43,6,-4.7202363227718624,0.0,4.7202363227718624
1,41,6,-3.9632897139427987,0.0,3.9632897139427987
1,48,24,510.0313035249791,0.0,0.0
1,48,68,-1299.1299999999983,0.0,1299.1299999999983
1,84,23,-244.70079081997682,0.0,244.70079081997682
1,37,54,710.8593498355057,0.0,0.0
1,51,54,0.0,0.0,0.0
1,33,45,5.413022821219882,0.0,0.0
1,67,33,-39.63161598395696,0.0,39.63161598395696
1,40,33,-0.2672960437386911,0.0,0.2672960437386911
1,33,65,-23.565556290976232,0.0,23.565556290976232
1,3,33,-0.03219508408156457,0.0,0.03219508408156457
1,33,16,0.2520835340678822,0.0,0.0
1,45,16,5.413022821219882,0.0,0.0
1,74,73,90.17403029010154,0.0,0.0
1,74,69,-305.2584804294977,0.0,305.2584804294977
1,86,69,-245.8988535668234,0.0,245.8988535668234
1,67,40,-2.2263363412763724,0.0,2.2263363412763724
1,67,65,-144.1047784598291,0.0,144.1047784598291
1,67,77,-4.260450739416125,0.0,4.260450739416125
1,67,46,-1.0786973960535615,0.0,1.0786973960535615
1,67,3,-3.750176225422038,0.0,3.750176225422038
1,28,67,1.901945015881025,0.0,0.0
1,43,67,20.519874018968466,0.0,0.0
1,41,67,1.1813496667015304,0.0,0.0
1,67,16,-35.31160022293176,0.0,35.31160022293176
1,40,65,-1.4199385101664679,0.0,1.4199385101664679
1,40,77,-0.13627982363749447,0.0,0.13627982363749447
1,40,46,9.761778382714851,0.0,0.0
1,40,3,-39.65400391418743,0.0,39.65400391418743
1,28,40,1.0045521176889771,0.0,0.0
1,43,40,-0.3482143534863482,0.0,0.3482143534863482
1,41,40,10.430502218476192,0.0,0.0
1,40,16,-0.35058117178652215,0.0,0.35058117178652215
1,47,13,82.24507274194545,0.0,0.0
1,73,49,165.02399478685925,0.0,0.0
1,73,69,-225.7548635698151,0.0,225.7548635698151
1,65,38,0.0,0.0,0.0
1,77,65,-93.65864289279307,0.0,93.65864289279307
1,46,65,-1.0926153232773883,0.0,1.0926153232773883
1,3,65,-0.7592838851554946,0.0,0.7592838851554946
1,28,65,4.308425096308423,0.0,0.0
1,43,65,-1.9573564721344665,0.0,1.9573564721344665
1,41,65,-0.7560704325823386,0.0,0.7560704325823386
1,16,65,-11.55659154028585,0.0,11.55659154028585
1,49,15,-179.72999999999683,0.0,179.72999999999683
1,77,14,-162.5533792835561,0.0,162.5533792835561
1,46,77,-0.16723812138921734,0.0,0.16723812138921734
1,28,77,38.910981206277825,0.0,0.0
1,43,77,-1.908469835588889,0.0,1.908469835588889
1,41,77,-0.4241411148255967,0.0,0.4241411148255967
1,69,25,426.2220097985365,0.0,0.0
1,46,3,-35.26454022102914,0.0,35.26454022102914
1,46,31,6.365516014831764,0.0,0.0
1,43,46,0.016641542583704094,0.0,0.0
1,41,46,0.41476397116161934,0.0,0.0
1,46,16,-31.670701749024715,0.0,31.670701749024715
1,3,31,46.226021807431266,0.0,0.0
1,43,3,-0.4609299747161484,0.0,0.4609299747161484
1,41,3,-0.33824326358153245,0.0,0.33824326358153245
1,3,16,-1.670061267254738,0.0,1.670061267254738
1,15,53,-179.72999999999683,0.0,179.72999999999683
1,63,82,296.987330015467,0.0,0.0
1,52,75,0.0,0.0,0.0
1,4,56,-402.84927344239577,0.0,402.84927344239577
1,43,28,-41.76186448377531,0.0,41.76186448377531
1,28,41,45.20220566346692,0.0,0.0
1,43,41,-27.571512024942876,0.0,27.571512024942876
1,16,78,-313.08309930617133,0.0,313.08309930617133
1,85,58,181.86671288339517,0.0,0.0
1,55,88,183.6569149636276,0.0,0.0
1,55,20,199.4573098438905,0.0,0.0
1,70,20,2.2173178227086603,0.0,0.0
1,79,26,253.67724384787957,0.0,0.0
1,79,50,190.866981085313,0.0,0.0
1,44,19,165.25744682116752,0.0,0.0
1,19,6,0.3140832644544088,0.0,0.0
1,59,42,131.62454833058166,0.0,0.0
1,27,36,214.38533282255923,0.0,0.0
1,12,61,236.59018732038834,0.0,0.0
1,18,2,139.7579605428574,0.0,0.0
1,70,61,92.79479940198397,0.0,0.0
1,5,34,330.4457424653905,0.0,0.0
1,47,6,29.956386555871212,0.0,0.0
1,13,6,26.358905129986397,0.0,0.0
1,64,23,252.89924369848987,0.0,0.0
1,62,84,256.4551121601493,0.0,0.0
1,37,33,304.30529640024173,0.0,0.0
1,74,40,215.08445013939615,0.0,0.0
1,86,67,245.8988535668234,0.0,0.0
1,24,47,510.0313035249791,0.0,0.0
1,47,65,7.460927095311861,0.0,0.0
1,47,77,44.64847383925228,0.0,0.0
1,47,28,7.921862387950294,0.0,0.0
1,47,43,3.586946601407394,0.0,0.0
1,47,41,2.737670863145862,0.0,0.0
1,73,65,150.90489907305732,0.0,0.0
1,13,65,3.2460042063204066,0.0,0.0
1,49,77,182.20061550329999,0.0,0.0
1,49,14,162.5533792835561,0.0,0.0
1,13,77,18.75225312695864,0.0,0.0
1,69,46,278.38805094772107,0.0,0.0
1,69,3,217.4132139206994,0.0,0.0
1,70,52,19.347882775307376,0.0,0.0
1,76,13,251.55018102688328,0.0,0.0
1,13,28,3.4242887140813245,0.0,0.0
1,13,43,1.6031746031746033,0.0,0.0
1,25,31,191.37100926095562,0.0,0.0
1,82,52,259.4841746386411,0.0,0.0
1,82,72,37.503155376825944,0.0,0.0
1,4,28,402.8492734423958,0.0,0.0
1,68,80,-1299.1299999999985,0.0,1299.1299999999985
1,53,66,-179.72999999999683,0.0,179.72999999999683
1,1,41,219.94570395766135,0.0,0.0
1,29,43,238.97850028574214,0.0,0.0
1,54,78,313.08309930617133,0.0,0.0
1,22,54,357.45,0.0,0.0
2,32,5,-336.50240308172135,0.0,336.50240308172135
2,85,44,-177.90121659108416,0.0,177.90121659108607
2,19,58,93.0900638650695,0.0,0.0
2,58,13,-59.99743344777929,0.0,59.99743344779972
2,55,62,250.06311512031832,0.0,0.0
