Hour,Bus,Load,Voltage,Carbon Intensity,Generation,Cost,Emissions
1,1,-0.0,0.0,665.012503760968,0.0,0.0,0.0
1,2,23.43,-2.5723685916755805,486.0511269623787,0.0,0.0,0.0
1,3,-91.99110658439092,-8.750807486298877,385.5594082459854,0.0,0.0,0.0
1,4,-0.0,16.08650505509864,286.9329400020745,0.0,0.0,0.0
1,5,-0.0,15.736987206674197,262.9658806976466,0.0,0.0,0.0
1,6,-280.92010107932407,-0.4015652043801063,783.4159822465986,0.0,0.0,0.0
1,7,-0.0,10.279383350110693,27.104246903435776,1700.0,11197.119700000001,0.0
1,8,-232.3084615088755,-13.41108152698846,489.13229000994437,0.0,0.0,0.0
1,9,-0.0,12.209446548858427,0.0,0.0,0.0,0.0
1,10,-0.0,4.814966797940569,327.2946879412576,0.0,0.0,0.0
1,11,-142.0297023066139,10.354499726352575,314.568930787501,0.0,0.0,0.0
1,12,-0.0,4.337052654389926,640.7924490619488,0.0,0.0,0.0
1,13,-226.79089772201442,0.883275613495975,788.1611564759338,0.0,0.0,0.0
1,14,-0.0,-9.549472640715155,724.269587148675,0.0,0.0,0.0
1,15,-0.0,0.2752469221397156,0.0,0.0,0.0,0.0
1,16,-260.7524541342456,-8.575958867237562,780.5005940912127,0.0,0.0,0.0
1,17,-0.0,0.9747611981556206,428.71106316002664,0.0,0.0,0.0
1,18,-0.0,4.754837811635037,409.0417353067671,0.0,0.0,0.0
1,19,-60.560019081306365,2.0535933122810617,721.3342423817451,0.0,0.0,0.0
1,20,-112.63440558006086,-13.372104542570517,768.8531765646785,0.0,0.0,0.0
1,21,-0.0,3.4471718515934366,499.4949265469415,0.0,0.0,0.0
1,22,357.45,8.284021961501669,0.0,0.0,0.0,0.0
1,23,-8.181215270173338,-16.589470402739,453.74140454892773,0.0,0.0,0.0
1,24,-0.0,22.29225122471203,399.4065729459843,0.0,0.0,0.0
1,25,-0.0,-1.742047240418037,165.07616264647942,0.0,0.0,0.0
1,26,-382.51937908566276,-8.944428250306862,774.0584305754669,0.0,0.0,0.0
1,27,-0.0,-3.1780411135066426,517.3604640818206,0.0,0.0,0.0
1,28,-287.19870814713147,-3.574273163954435,642.125846072766,0.0,0.0,0.0
