Hour,index,key_0,Load,Voltage,Carbon Intensity,Load Shed,Generation,Cost,Emissions,type
1,,1,-0.0,0.0,649.576105895014,0.0,0.0,0.0,0.0,
1,,2,23.43,-3.508904942274523,464.23986341756466,0.0,0.0,0.0,0.0,
1,,3,-92.18492945955944,-8.821215457840863,231.82561361561966,0.0,0.0,0.0,0.0,
1,,4,-0.0,15.701823584942758,283.70030126654495,0.0,0.0,0.0,0.0,
1,,5,-0.0,15.353679924561051,285.68178027787155,-1.3137108847710525e-09,0.0,0.0,0.0,
1,,6,-281.511992444756,-0.8932960367484359,780.6343962830422,0.0,0.0,0.0,0.0,
1,0.0,7,-0.0,10.493416071262594,11.577393437705727,0.0,1700.0,11197.119700000001,0.0,NUC
1,,8,-232.79792941080058,-13.050976753523402,497.3017376415374,0.0,0.0,0.0,0.0,
1,,9,-0.0,11.81339707191017,500.0,0.0,0.0,0.0,0.0,
1,,10,-0.0,4.527920008501786,336.397783639057,0.0,0.0,0.0,0.0,
1,,11,-142.3289552048834,9.99157453621724,327.12228923966524,0.0,0.0,0.0,0.0,
1,,12,-0.0,4.006347206526311,641.3761382774252,0.0,0.0,0.0,0.0,
1,,13,-227.26874026017552,0.41620381192189837,780.3262569238933,0.0,0.0,0.0,0.0,
1,,14,-0.0,-10.150057602594448,797.8625353127859,0.0,0.0,0.0,0.0,
1,,15,-0.0,0.1438506591720925,608.3530295641774,0.0,0.0,0.0,0.0,
1,,16,-261.3018527907471,-8.530879972232126,767.5717395826027,0.0,0.0,0.0,0.0,
1,,17,-0.0,1.03218769114788,412.5599345293004,0.0,0.0,0.0,0.0,
1,,18,-0.0,4.462504522143277,401.9836540148086,0.0,0.0,0.0,0.0,
1,,19,-60.68761747048143,1.6171499683004713,696.3061988964199,0.0,0.0,0.0,0.0,
1,,20,-112.8717233506912,-13.045366114646177,752.6331453194291,0.0,0.0,0.0,0.0,
1,1.0,21,-0.0,4.573987709835334,550.3766354357701,0.0,160.79900681846195,5594.977483196368,126161.25697403576,COW
1,,22,357.45,9.4732641396179,2.692535248869939e-09,0.0,0.0,0.0,0.0,
1,,23,-8.198452878513041,-16.244108851553246,462.1920170355131,0.0,0.0,0.0,0.0,
1,2.0,24,-0.0,21.888419520791704,442.13868889188785,0.0,0.0,0.0,0.0,NG
1,,25,-0.0,-1.4428463721534293,156.76755294934762,0.0,0.0,0.0,0.0,
1,,26,-383.3253374941971,-9.58929144211321,774.1240312815015,0.0,0.0,0.0,0.0,
1,,27,-0.0,-2.5154659217916855,554.80095513517,0.0,0.0,0.0,0.0,
1,,28,-287.8038283747776,-4.045972861082016,634.1448112059737,0.0,0.0,0.0,0.0,
1,,29,-0.0,-0.17682883266669291,629.5230251307959,0.0,0.0,0.0,0.0,
1,,30,-0.0,11.81339707191017,500.0,0.0,0.0,0.0,0.0,
1,,31,-194.2842670512742,-11.189206175508936,187.99893156010316,0.0,0.0,0.0,0.0,
1,,32,-345.01186991426226,12.231322501836978,725.9440531963347,0.0,0.0,0.0,0.0,
1,,33,-282.27463922415257,-8.4334717785059,804.8842653704853,0.0,0.0,0.0,0.0,
1,,34,-0.0,-0.8194673090411708,529.8235268986493,0.0,0.0,0.0,0.0,
1,,35,-215.73370772180252,-8.199524759492906,481.7754537336594,0.0,0.0,0.0,0.0,
1,,36,-0.0,-12.992307915072061,494.07804459012965,0.0,0.0,0.0,0.0,
1,3.0,37,-0.0,7.487487397480885,734.7200274522444,0.0,1086.151176578989,35390.32011815087,798017.0222720294,COW
1,,38,-0.0,-7.969884428665504,500.0,0.0,0.0,0.0,0.0,
1,,39,-0.0,-9.55185980550874,759.9586845811867,0.0,0.0,0.0,0.0,
1,,40,-282.94195515612455,-10.65729417685507,759.650321621689,0.0,0.0,0.0,0.0,
1,,41,-320.5976398888298,-10.373940863960534,821.3916501758374,0.0,0.0,0.0,0.0,
1,4.0,42,-0.0,-6.135464215960227,531.0312843301483,0.0,4.512395697144069e-09,1.6588679339480515e-07,2.1887955707030275e-06,NG
1,,43,-372.2669591929469,-11.268628278754715,847.2229189693347,0.0,0.0,0.0,0.0,
1,,44,-35.272413547091,11.81339707191017,420.85453341416655,0.0,0.0,0.0,0.0,
1,5.0,45,-0.0,-8.43428897369157,907.4753486780161,0.0,0.0,0.0,0.0,NG
1,,46,-392.0957754572575,-11.007675376293395,653.1426402444853,0.0,0.0,0.0,0.0,
1,,47,-331.37955873254873,1.8227069523551747,688.5539717809036,0.0,0.0,0.0,0.0,
1,,48,-0.0,22.977918813935567,163.51081114480135,0.0,0.0,0.0,0.0,
1,,49,-0.0,-1.4647328408280944,614.0641422913449,0.0,0.0,0.0,0.0,
1,,50,-0.0,-8.132494985011142,461.267484836838,0.0,0.0,0.0,0.0,
1,,51,-0.0,5.9341516896179,499.37534349582586,0.0,0.0,0.0,0.0,
1,,52,-212.30179721451796,-7.351987751623853,437.6428983340075,0.0,0.0,0.0,0.0,
1,,53,-0.0,0.7944732591721246,410.9961965155627,0.0,0.0,0.0,0.0,
1,,54,-0.0,5.9341516896179,499.9999999982797,0.0,0.0,0.0,0.0,
1,,55,456.66,-3.9429381092275473,383.3286479190264,0.0,0.0,0.0,0.0,
1,6.0,56,-0.0,15.790925396262214,33.51280135979851,0.0,1200.0,10077.9996,0.0,NUC
1,,57,-0.0,-1.8820466761570822,552.5470873937192,0.0,0.0,0.0,0.0,
1,,58,-339.35875066198525,-4.010104487852064,856.9578578829344,0.0,0.0,0.0,0.0,
