Hour,Bus,Load,Voltage,Carbon Intensity,Generation,Cost,Emissions
1,85,-0.0,8.040694412018638,,0.0,0.0,0.0
1,86,-0.0,0.3372370248689549,,0.0,0.0,0.0
1,87,-0.0,0.9935684293013765,,0.0,0.0,0.0
1,88,-17.0473694931984,-12.953634170073201,,0.0,0.0,0.0
1,89,-0.0,16.12698720667686,,600.0,10593.2064,238866.41882352944
2,1,-0.0,0.0,,0.0,0.0,0.0
2,2,23.43,-1.2965218121826183,,0.0,0.0,0.0
2,3,-85.77685835426378,-9.008319982007379,,0.0,0.0,0.0
2,4,-0.0,19.196628703401075,,0.0,0.0,0.0
2,5,-0.0,18.8569847066683,,0.0,0.0,0.0
2,6,-261.9431879215522,2.7486186643800465,,0.0,0.0,0.0
2,7,-0.0,9.368897864667815,,1700.0,11197.119700000001,0.0
2,8,-216.61539617488327,-13.828465654019965,,0.0,0.0,0.0
2,9,-0.0,15.50686426871107,,0.0,0.0,0.0
2,10,-0.0,6.504143569502048,,0.0,0.0,0.0
2,11,-132.43521150249828,13.808328863000497,,0.0,0.0,0.0
2,12,-0.0,8.141247368956101,,0.0,0.0,0.0
2,13,-211.47055875549623,4.404024044997641,,0.0,0.0,0.0
2,14,-0.0,-8.685733631951734,,0.0,0.0,0.0
2,15,-0.0,-0.01727714590379037,,0.0,0.0,0.0
2,16,-243.13792011275802,-10.551069167646347,,0.0,0.0,0.0
2,17,-0.0,0.7873327798297396,,0.0,0.0,0.0
2,18,-0.0,6.440650296601234,,0.0,0.0,0.0
2,19,-56.469025882445,5.819490867826971,,0.0,0.0,0.0
2,20,-105.02564663024644,-13.277652460281388,,0.0,0.0,0.0
2,21,-0.0,-0.6602750181627925,,0.0,0.0,0.0
2,22,357.45,2.924343820748618,,0.0,0.0,0.0
2,23,-7.6285520356429,-16.41056044342986,,0.0,0.0,0.0
2,24,-0.0,25.491951072050142,,0.0,0.0,0.0
2,25,-0.0,-2.6414053558110027,,0.0,0.0,0.0
2,26,-356.67915971302443,-7.954607000370743,,0.0,0.0,0.0
2,27,-0.0,-5.127289706055308,,0.0,0.0,0.0
2,28,-267.79765808844087,-1.0893951452017063,,0.0,0.0,0.0
2,29,-0.0,-0.2682532332109986,,0.0,0.0,0.0
2,30,-0.0,15.50686426871107,,0.0,0.0,0.0
2,31,-180.7789424260492,-11.610128392552724,,0.0,0.0,0.0
2,32,-321.0289845604096,15.951672396389768,,0.0,0.0,0.0
2,33,-262.6528206690538,-10.686765142338118,,0.0,0.0,0.0
2,34,-0.0,2.8218175275542308,,0.0,0.0,0.0
2,35,-200.73736344953355,-6.550991511918255,,0.0,0.0,0.0
2,36,-0.0,-13.77627009084972,,0.0,0.0,0.0
2,37,-0.0,-0.8241347857547225,,98.52044292369445,3210.114842607266,72384.94252937954
2,38,-0.0,-6.899259061916382,,0.0,0.0,0.0
2,39,-0.0,-7.908616435495787,,0.0,0.0,0.0
2,40,-263.2737493231178,-10.160630938000395,,0.0,0.0,0.0
2,41,-298.3118662310125,-9.067779797362164,,0.0,0.0,0.0
2,42,-0.0,-3.7110451499174815,,100.0,1676.2466,22117.258754613464
2,43,-346.3894848742503,-9.952445404458558,,0.0,0.0,0.0
2,44,-32.82051457195201,15.50686426871107,,0.0,0.0,0.0
2,45,-0.0,-10.68095321576402,,21.23,588.22028936,7761.28067581985
2,46,-364.8399363092936,-11.025407729073777,,0.0,0.0,0.0
2,47,-308.3442991988173,5.759159411943983,,0.0,0.0,0.0
2,48,-0.0,26.563373903016327,,0.0,0.0,0.0
2,49,-0.0,-1.6258606459014118,,0.0,0.0,0.0
2,50,-0.0,-6.480173511910834,,0.0,0.0,0.0
2,51,-0.0,-0.6147686292533763,,0.0,0.0,0.0
2,52,-197.54401608577604,-4.500698612871929,,0.0,0.0,0.0
2,53,-0.0,0.6333454541018,,0.0,0.0,0.0
2,54,-0.0,-0.6147686292533763,,0.0,0.0,0.0
2,55,456.66,-5.422194366430631,,0.0,0.0,0.0
2,56,-0.0,19.28815899004985,,1200.0,10077.9996,0.0
2,57,-0.0,-4.604381120210746,,0.0,0.0,0.0
2,58,-315.76883181955344,0.5396630420000292,,0.0,0.0,0.0
2,59,-0.0,3.213168204136309,,0.0,0.0,0.0
2,60,-0.0,18.8569847066683,,0.0,0.0,0.0
2,61,-289.9736814478679,-5.236493114425684,,0.0,0.0,0.0
2,62,-0.0,-6.493153108662227,,0.0,0.0,0.0
2,63,-0.0,8.246337909062277,,0.0,0.0,0.0
2,64,-0.0,-6.6191247569950065,,0.0,0.0,0.0
2,65,-0.0,-6.899259061916382,,100.0,2076.0836999999997,27392.914854613467
