Hour,Load,System Inflow,Generation,Load Shed,Cost,Emissions,Infeasible
1,7777.710183404702,2430.76,5346.950183404245,0.0,87312.33255383509,1416960.6322865656,
2,7585.8786187247815,2430.76,5155.11861874164,-1.8815100588653877e-08,80317.66307962831,1305264.3640746828,
3,7475.909508025511,2430.76,5045.149508025511,0.0,76377.97648096982,1233052.570887105,
4,7442.243431681717,2430.76,5011.483431681051,5.387585932936645e-10,75174.10543950445,1210891.886437097,
5,7453.596019257209,2430.76,5022.836019256771,0.0,75579.90633188744,1218368.534049381,
6,7555.124920161901,2430.76,5124.364920161579,1.5330670066759922e-10,79214.62537999656,1285100.4708457813,
7,7787.755043863818,2430.76,5356.995043631628,-5.840840415771709e-07,87710.58339180007,1426531.1374675839,
8,8363.117069935248,2430.76,5914.946171556954,17.410898230500052,120421.7586269483,1927911.1138372102,
9,8856.332353522474,2430.76,6094.783941437506,330.7884109823338,144471.4466176358,2061866.487764181,
10,8989.651026647463,2430.76,6226.378274055936,332.5127525915383,126249.8748913687,2177784.4421572816,
11,8929.122845478407,2430.76,6293.740442247207,204.62240322998548,149895.77959862165,2195409.8603416616,
12,8825.881896030054,2430.76,5966.208532537096,428.9133634929439,111036.32712196773,1979276.3821394944,
13,8756.98299781174,2430.76,6139.171248388916,187.05174794008545,139659.42794733978,2008321.764493456,
14,8720.58775183377,2430.76,6173.72776436499,116.09998746888624,141391.87387839583,2082655.1717818554,
15,8741.884119511558,2430.76,5956.559623652584,354.5644948985984,137867.04796183342,1924064.8881162535,
16,8876.649505243553,2430.76,5493.754912414984,952.1345928284942,121956.50232838778,1638130.6516314521,
17,9143.432154506467,2430.76,6611.327627864856,101.34452664161617,152190.2999287458,2472036.027012104,
18,9629.780291352143,2430.76,6470.184573548052,728.8357178039113,176839.03849039177,2793248.3156984174,
19,10104.69371283241,2430.76,6504.360409726709,1169.573303105541,159353.97387516152,2839036.8952894295,
20,10004.731557458446,2430.76,7171.7747592002415,402.1967982582322,184266.49412106595,2808671.366030571,
21,9717.227435047169,2430.76,6695.381205008192,591.0862293797308,167357.0615818959,2487341.829171599,
22,9358.941792771777,2430.76,6776.353112473441,151.82868021675674,180745.0981542472,3276244.5321678333,
23,8875.423905917096,2430.76,5453.225114699594,991.4387899584717,123962.4710310059,1720509.111677446,
24,8275.78995916395,2430.76,5644.9172793974685,200.11267961172229,98932.39680983443,1740550.056972316,
